# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 3.322693999998627e-06, 0.002512407809000002, 0.0024910270089999924, 3.3943720000015887e-06, 0.005010151883999994, 1.0
1, 4, 3.249875499998556e-06, 0.0008588885250000009, 0.0008266018160000042, 3.317601500002043e-06, 0.0016920578180000057, 2.9609814928912654
2, 4, 3.349444750000208e-06, 0.00337024157025, 0.0033241949094999974, 3.473895250001302e-06, 0.006701259819749998, 0.7476432818250145
4, 4, 3.418835875010018e-06, 0.04533638454187502, 0.04567951468024998, 3.906788374973047e-06, 0.09102322484637498, 0.05504256625115084
