# Nodes, Ptile,    Forward,    Back, Total, SpeedUp
1, 2, 0.013372509039000021, 0.014530560421000066, 0.02790306946000009, 1.0
1, 4, 0.009269213289000013, 0.009900676969999982, 0.019169890258999997, 1.455567511498924
2, 4, 0.014867918898500001, 0.015420923670250015, 0.030288842568750016, 0.9212326088943588
4, 4, 0.012326473877125002, 0.012349556828624994, 0.024676030705749995, 1.1307762497433647
