# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 4.602091000123209e-06, 0.04270072962900006, 0.04269398244599998, 4.750824000034015e-06, 0.0854040649900002, 1.0
1, 4, 4.9930195000058575e-06, 0.029008385119999987, 0.028956187324499987, 9.210134000024794e-06, 0.05797877559800001, 1.4730229141462972
2, 4, 3.886846750004835e-06, 0.039986610214749994, 0.039448406070500076, 8.1275360000177e-06, 0.0794470306680001, 1.0749812078804284
4, 4, 3.832135749996634e-06, 0.028051113108874967, 0.027103424547249972, 6.445466374989994e-06, 0.05516481525824993, 1.5481618961322992
