# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 3.2247279999779722e-06, 0.010681438062000012, 0.010682798927000017, 3.406200000011239e-06, 0.02137086791700002, 1.0
1, 4, 0.014029398291000012, 0.014006003643499977, 0.014024247039999986, 0.014014451999999946, 0.05607410097449993, 0.3811183335194008
2, 4, 0.019874473430250006, 0.004341761922000007, 0.00333629770299998, 0.014897706938749995, 0.04245023999399999, 0.5034333827092762
4, 4, 0.010975992950125009, 0.00219586096699999, 0.0014082030603749982, 0.009667063825874997, 0.024247120803374995, 0.8813775495367423
