# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.04273802613400008, 4.617607999996664e-06, 4.458521999936238e-06, 0.04274621070200006, 0.08549331296600007, 1.0
1, 4, 0.028537643435000027, 9.41800049999486e-06, 4.9421974999575015e-06, 0.028468211014500026, 0.05702021464750001, 1.4993509493873578
2, 4, 0.03887693638775, 8.526398750007047e-06, 3.915833999990071e-06, 0.03943021976925004, 0.07831959838975003, 1.091595395325583
4, 4, 0.02761564853487497, 7.637179124986292e-06, 3.8237402499925466e-06, 0.027743302590125012, 0.05537041204437496, 1.5440252259182037
