# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 4.561386999997197e-06, 0.00978157217599997, 0.009720727018000025, 4.586022999971462e-06, 0.019511446603999963, 1.0
1, 4, 4.508512000000131e-06, 0.0031501678080000073, 0.003089795590999992, 4.555391000002462e-06, 0.006249027302000002, 3.1223173881406026
2, 4, 3.3834859999948288e-06, 0.012992273187749979, 0.01303032469200004, 3.5766122500069384e-06, 0.026029557978000023, 0.749588088299113
4, 4, 3.3644244999939677e-06, 0.011127545726249992, 0.010975098106749986, 3.642283250001821e-06, 0.022109650540749974, 0.882485526763017
