# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.009758421049999995, 4.682819000032978e-06, 4.494582000036828e-06, 0.00980383694400005, 0.019571435395000114, 1.0
1, 4, 0.0031501856029999987, 4.657546500004273e-06, 4.491265500004005e-06, 0.003161235589000001, 0.006320570004000008, 3.0964668348921416
2, 4, 0.012998092111749987, 3.589217249994725e-06, 3.3270560000091542e-06, 0.012979820056499981, 0.02598482844149997, 0.7531870159951826
4, 4, 0.010890780782874997, 3.727883625005868e-06, 3.3695178749992837e-06, 0.010890076553124994, 0.021787954737499997, 0.8982685906408207
