# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 3.2136659999952856e-06, 0.010669439095000012, 0.010665533385999992, 3.4557980000169406e-06, 0.021341641945000017, 1.0
1, 4, 0.013878369029499937, 0.013838732201499998, 0.013870087925500037, 0.013849614463499995, 0.05543680361999997, 0.38497244702796285
2, 4, 0.02042785674050002, 0.004371561937250005, 0.003358944364749968, 0.015088752090749977, 0.04324711513324997, 0.49348128491909
4, 4, 0.010419337602124988, 0.0022131249090000054, 0.0014059299251249942, 0.009203851597499991, 0.023242244033749977, 0.9182263947495731
