# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.009754991240999978, 4.743992999992841e-06, 4.570407999977988e-06, 0.009810414666000009, 0.019574720307999956, 1.0
1, 4, 0.0031249628045, 4.6504404999963e-06, 4.455358499999118e-06, 0.0031415461375000004, 0.006275614740999996, 3.1191717649768913
2, 4, 0.012827907328000005, 3.6180125000111473e-06, 3.3535020000177163e-06, 0.012812362091750006, 0.02564724093425004, 0.7632290880014048
4, 4, 0.009882926634625009, 3.6797876250018734e-06, 3.33519362499457e-06, 0.009901727792749997, 0.019791669408625, 0.9890383627502135
