# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.021364663993000015, 4.605934000050382e-06, 4.456752999967506e-06, 0.021376990410000064, 0.0427507170900001, 1.0
1, 4, 0.014412762488, 7.421520500005663e-06, 3.6556645000178635e-06, 0.014405606310500014, 0.02882944598350004, 1.4828837541473263
2, 4, 0.023222478028499995, 7.83842074997576e-06, 3.8016059999996797e-06, 0.02314607335825001, 0.046380191413499985, 0.9217451629049671
4, 4, 0.016371523234750007, 5.815447500000292e-06, 3.6955372499956063e-06, 0.016409564216499986, 0.03279059843599999, 1.3037492186499755
