# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 5.478246624960548e-06, 0.4373600556451249, 0.4322435269324998, 1.0850374500492421e-05, 0.8696199111987502, 1.0
8, 4, 5.457959624983743e-06, 0.2379855994934376, 0.23699781954825, 1.0784645937491177e-05, 0.47499966164725, 1.8307800645225676
16, 4, 5.323870718728862e-06, 0.1297528838510938, 0.1298932804250313, 9.109710437487095e-06, 0.2596605978572814, 3.3490638101231047
32, 4, 3.840707578138369e-06, 0.08432453712393748, 0.08427111038385939, 5.6880810000019544e-06, 0.168605176296375, 5.157729616023936
