# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 1.775014915310625, 0.5316334945151237, 0.5322953892973733, 1.772112705060251, 4.611056504183374, 1.0
8, 4, 0.9903431679069369, 0.5682438057570011, 0.5711408638540627, 0.9827001629235004, 3.112428000441501, 1.481498207678793
16, 4, 0.4899896162316248, 0.2885365170910941, 0.2867858467201251, 0.4860713678805312, 1.551383347923375, 2.97222250732262
32, 4, 0.2494754539402032, 0.196362341180828, 0.1960167545983908, 0.2493763249630314, 0.8912308746824533, 5.1738069620021845
