# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 0.5908994802812506, 0.1233040868642499, 0.1182537918161244, 0.4410428832768749, 1.2735002422385, 1.0
8, 4, 0.2954349237944379, 0.1649269533199378, 0.173068481809375, 0.2924135631037503, 0.925843922027501, 1.3755020818732255
16, 4, 0.1356143755540001, 0.08660856593818755, 0.08540758047465627, 0.1335267730048438, 0.4411572949716878, 2.8867260198433975
32, 4, 0.06835931359435934, 0.0582382431344688, 0.0580980122937969, 0.06823958246217185, 0.2529351514847969, 5.034888329133826
