# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 4.744375625030273e-06, 0.159476561767375, 0.15969031920525, 5.170861874962185e-06, 0.319176796210125, 1.0
8, 4, 4.792949437479876e-06, 0.1247379105664375, 0.12291973336625, 6.15141981257139e-06, 0.2476685883019376, 1.2887253825705598
16, 4, 4.741925562501414e-06, 0.0481001520996563, 0.04804418139978124, 5.638454343729338e-06, 0.09615471387934377, 3.3194087250951876
32, 4, 3.5146344999946734e-06, 0.026522689645515636, 0.026296680260062506, 4.246605109379798e-06, 0.052827131145187514, 6.041910459474225
