# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 4.802662625280618e-06, 0.3095929135502501, 0.3097604777400003, 5.4932582500129e-06, 0.6193636872111257, 1.0
8, 4, 4.8860171875766415e-06, 0.25724682559975, 0.2537750387039375, 6.266724562564718e-06, 0.5110330170454376, 1.2119837007636163
16, 4, 4.9101391249699584e-06, 0.09892731897200004, 0.09868440158262501, 6.20210456247694e-06, 0.1976228327983125, 3.1340694718369324
32, 4, 4.8405397812520955e-06, 0.05006894906726563, 0.04994212445573437, 5.686289578120452e-06, 0.1000216003523594, 6.192299313640362
