# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 4.935704875165925e-06, 0.6216228485413748, 0.6210566376084995, 5.642814250649053e-06, 1.242690064669, 1.0
8, 4, 4.956238562296988e-06, 0.4651625361695619, 0.4620826842323127, 6.664229500017882e-06, 0.9272568408699369, 1.340178912568743
16, 4, 4.9560953124663245e-06, 0.2062861300997499, 0.2054493583924375, 6.586882124988591e-06, 0.4117470314696249, 3.0180911328820956
32, 4, 4.887403515630551e-06, 0.1011412894724375, 0.1010140041107031, 6.216809687487279e-06, 0.2021663977963437, 6.146867522073813
