# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 0.4297231401567502, 1.0655896999949733e-05, 5.41176975000468e-06, 0.4302693948935001, 0.8600086027170003, 1.0
8, 4, 0.2377804591850626, 1.0742147500121036e-05, 5.439964500029149e-06, 0.2359566054119374, 0.4737532467090002, 1.8153091481508197
16, 4, 0.13317781434725, 1.0427789062480208e-05, 5.277068125018047e-06, 0.1329823098280313, 0.2661758290324688, 3.2309793336347394
32, 4, 0.08435509281999998, 5.819901984397191e-06, 3.836252796876716e-06, 0.08458805878971876, 0.1689528077645, 5.090229716192402
