# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 5.006473500017705e-06, 0.6918090752578753, 0.6905793687572501, 9.301537750019406e-06, 1.382402752026375, 1.0
8, 4, 5.420957500010815e-06, 0.4895037331160623, 0.4857407092515622, 1.0677159750116516e-05, 0.9752605404848746, 1.4174701986190066
16, 4, 5.547037093769802e-06, 0.2529089234802812, 0.2528354357183437, 1.1131086250001587e-05, 0.5057610373219685, 2.7333120782618425
32, 4, 5.369983812506973e-06, 0.1456622687504062, 0.1456597552039532, 8.187966265607027e-06, 0.2913355819044375, 4.745052914545208
