# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
4, 4, 5.482291874784551e-06, 0.5411127064048744, 0.5479414314606245, 1.0838481124892497e-05, 1.089070458638499, 1.0
8, 4, 5.423012312569142e-06, 0.269195252651125, 0.2657431106481875, 1.0770849062442523e-05, 0.5349545571606874, 2.0358186392855955
16, 4, 5.41618471880323e-06, 0.1464787713684062, 0.1461206708525625, 9.273829531220911e-06, 0.2926141322352188, 3.721865551466414
32, 4, 3.8052496718810056e-06, 0.07494292704668747, 0.07490915317623435, 5.653397937514182e-06, 0.1498615388705312, 7.267177868628266
