# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 4.42140699999527e-06, 0.019676684533999997, 0.019673453295999982, 4.602948999959721e-06, 0.039359162185999934, 1.0
1, 4, 4.9312225000157635e-06, 0.01302020720950004, 0.01296563146099998, 8.630859500005528e-06, 0.02599940075250004, 1.5138488213892873
2, 4, 5.119489250013487e-06, 0.019470118170750013, 0.019599823056250024, 8.659152749983079e-06, 0.039083719869000035, 1.0070474949140746
4, 4, 4.882630250002018e-06, 0.013877138925125002, 0.013898420977624986, 6.290618000004855e-06, 0.027786733150999995, 1.4164731770414496
