# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.004816176887000004, 4.610662000002819e-06, 4.442533000003301e-06, 0.004793290775999995, 0.009618520858000005, 1.0
1, 4, 0.0027409192124999973, 4.607054000010269e-06, 4.446111999999669e-06, 0.002640749456999996, 0.005390721835500004, 1.7842732664591034
2, 4, 0.01007974867774999, 4.80432174999601e-06, 4.4843954999946865e-06, 0.009962931576500007, 0.020051968971499988, 0.4796796200747607
4, 4, 0.00608583531450001, 4.8071933750041264e-06, 4.4929726250025895e-06, 0.005987693774500004, 0.012082829255000021, 0.79604872791029
