# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.04019740714800005, 4.5480039999219455e-06, 4.497840000077247e-06, 0.040183496951999895, 0.08038994994399994, 1.0
1, 4, 0.027363713059000004, 9.555347500002753e-06, 4.914314000009412e-06, 0.027314207962499983, 0.054692390683, 1.4698562074191337
2, 4, 0.036857499320750046, 1.0624251750002145e-05, 5.263825499987717e-06, 0.03725231178274995, 0.07412569918074999, 1.0845084880477827
4, 4, 0.03249472932350001, 9.709149999985733e-06, 5.190223624995216e-06, 0.026451699668375007, 0.0589613283655, 1.363435190022592
