# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.002881320685000009, 4.71879499999961e-06, 4.463324999990803e-06, 0.0028835590899999896, 0.0057740618949999895, 1.0
1, 4, 0.0015066924044999997, 4.577024999996127e-06, 4.4260710000032515e-06, 0.001366784229500004, 0.0028824797300000034, 2.0031578487457335
2, 4, 0.005866444992999998, 4.788546250000136e-06, 4.450023500003341e-06, 0.005795066115000001, 0.011670749677750003, 0.49474644341040885
4, 4, 0.003449286953874997, 4.779531750002008e-06, 4.490026500000077e-06, 0.003309305017875002, 0.0067678615300000005, 0.8531589881685994
