# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.020102370831999988, 4.592395000045713e-06, 4.407560000053934e-06, 0.020111946709999957, 0.04022331749700005, 1.0
1, 4, 0.0136323786315, 9.431155500007727e-06, 4.875444500004988e-06, 0.013622917150999985, 0.027269602382499997, 1.475023982117648
2, 4, 0.021885869371999996, 9.878457750018833e-06, 5.114390749992203e-06, 0.022075761800500027, 0.043976624021000034, 0.9146522361014415
4, 4, 0.015513789893749994, 6.987715250009074e-06, 4.901854249999005e-06, 0.015336484594124997, 0.030862164057374998, 1.3033213556321581
