# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 0.010769247955999987, 4.706841000022166e-06, 4.524303999993151e-06, 0.010767706446999996, 0.021546185547999995, 1.0
1, 4, 0.001656095200999997, 4.690496999997462e-06, 4.49907800000271e-06, 0.001555606023, 0.0032208907989999974, 6.689511347199205
2, 4, 0.011111776559249989, 4.741895500004923e-06, 4.467457749997017e-06, 0.01098745181075001, 0.02210843772325, 0.974568434808095
4, 4, 0.005550014111999999, 4.763293124991019e-06, 4.507518624998208e-06, 0.005437699043124996, 0.010996983966874985, 1.9592813459491456
