# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 4.474877000019362e-06, 0.009866331301999997, 0.009848628657000001, 4.6089649999938585e-06, 0.019724043801000013, 1.0
1, 4, 5.053609000004844e-06, 0.006304516780999999, 0.006268527740500005, 8.324871999992655e-06, 0.012586423002500001, 1.5670889018335303
2, 4, 4.931096000002189e-06, 0.01224613871050003, 0.012279926385500009, 7.103535749997558e-06, 0.02453809972775004, 0.8038130099656482
4, 4, 4.7338004999935016e-06, 0.008662579637625005, 0.008492565773624998, 5.9454316250060475e-06, 0.017165824643375002, 1.1490297850975852
