# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 2, 4.611291999999878e-06, 0.020241954117999904, 0.02023660318100008, 4.763935000021035e-06, 0.040487932526, 1.0
1, 4, 5.07929900000903e-06, 0.013741204176999993, 0.013715501310499985, 9.300688499975784e-06, 0.027471085474999962, 1.4738381038072197
2, 4, 5.135822749998909e-06, 0.019739485478999997, 0.019726081944999984, 9.856638250012039e-06, 0.03948055988499999, 1.025515662491472
4, 4, 4.963164375001883e-06, 0.015025564090750013, 0.015052438415750007, 7.079897374998812e-06, 0.03009004556825002, 1.3455590299511369
