# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT
1, 128, 0.34431338502344105, 0.17662961460781795, 0.17652053027108822, 0.3419605020265646, 1.0394240319289119
2, 128, 0.20462745316132214, 0.09342969836562123, 0.08887598523789197, 0.21587293490312137, 0.6028060716679566
4, 128, 0.1264889651843732, 0.04655596400469113, 0.04534942984746122, 0.1298257296111318, 0.34822008864765736
8, 128, 0.06651111751279046, 0.025364421051075593, 0.02300591745439622, 0.07034449929199398, 0.18522595531025624
16, 128, 0.03384625646221016, 0.011656442798924882, 0.012038017341748164, 0.034552917265231395, 0.09209363386811459
32, 128, 0.016620317838794484, 0.006384386007959086, 0.00749641946616264, 0.017128334311328385, 0.0476294576242446
64, 128, 0.008703963282360594, 0.0033554974264158877, 0.005849141012097564, 0.00887616883209193, 0.026784770552965975
