# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT
1, 128, 0.41591844160859137, 0.08546659561172235, 0.08556190785546107, 0.3712935965648363, 0.958240541640611
2, 128, 0.23727632835820955, 0.04062454322421623, 0.04068162629687251, 0.25475172527187356, 0.5733342231511718
4, 128, 0.12802780424199459, 0.01987281579453164, 0.019765114748045053, 0.147000288416017, 0.3146660232005883
