# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 0.01232582710349999, 4.644491499988135e-06, 4.477966500020969e-06, 0.0124103965775, 0.024745346139, 1.0
2, 4, 0.04920190572524998, 4.887778750031657e-06, 4.64567274996952e-06, 0.04929897669149999, 0.09851041586824998, 0.2511952256104063
4, 4, 0.042977839534750026, 4.989060750001606e-06, 4.61172137499144e-06, 0.043058878405125, 0.08604631872200001, 0.28758169444700715
8, 4, 0.02359425520181248, 4.203113874992059e-06, 3.456085125004282e-06, 0.023314364752687482, 0.046916279153499954, 0.5274362457013814
