# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 5.125413000023115e-06, 0.1162653833974998, 0.1160278603340001, 9.186448499974631e-06, 0.2323075555929999, 1.0
2, 4, 5.454899500016097e-06, 0.15899711260975, 0.1722532552934999, 1.1090133250000634e-05, 0.331266912936, 0.7012700228165593
4, 4, 5.414935750051697e-06, 0.1094059305633748, 0.10968846739825, 1.0620946125010633e-05, 0.2191104338434999, 1.0602304578472337
8, 4, 3.960937562494493e-06, 0.06135305533918752, 0.06339355996575002, 6.980915812528465e-06, 0.1247575571583126, 1.8620720129860384
