# Nodes, Ptile,    Forward,    Back, Total, SpeedUp
1, 4, 0.1410190879875004, 0.1408471945254998, 0.28186628251300017, 1.0
2, 4, 0.2142469391367496, 0.2111983826027502, 0.4254453217394998, 0.6625205828108434
4, 4, 0.13440272864525, 0.1322558452925001, 0.26665857393775005, 1.057030637907785
8, 4, 0.07284571212231246, 0.07319759821274997, 0.14604331033506243, 1.9300184436132233
