# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 4.583695000032861e-06, 0.024476776522999986, 0.024332491999000026, 4.682875000018072e-06, 0.048818535092000064, 1.0
2, 4, 4.728598500111758e-06, 0.09835286662575013, 0.09828747810624995, 4.856556249958288e-06, 0.1966499298867501, 0.24825096617178793
4, 4, 4.650461000021977e-06, 0.08584846998362508, 0.08574859214074983, 4.986514375017848e-06, 0.17160669909975, 0.28447919194356897
8, 4, 4.688872062498017e-06, 0.04625218457393748, 0.0461960889935, 5.524751687491225e-06, 0.09245848719118747, 0.5280049087440954
