# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 0.01755478099050004, 0.017197857997499982, 0.017087715545000003, 0.017600812578000023, 0.06944116711100004, 1.0
2, 4, 0.05731389171424997, 0.06387503827025001, 0.06391920015475007, 0.05734321926599998, 0.24245134940525, 0.286412788715526
4, 4, 0.042010409908500024, 0.03195528859762502, 0.031987338568749975, 0.04187734702412506, 0.1478303840990001, 0.46973541693902515
8, 4, 0.03170685921862501, 0.01965554027712499, 0.019813041880437473, 0.03201404051381253, 0.10318948189, 0.6729481129193412
