# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 0.05921688415750007, 9.78082599995389e-06, 4.925001000081864e-06, 0.059163972305999915, 0.1183955622905, 1.0
2, 4, 0.08132789372499996, 1.083808425004662e-05, 5.398909250068585e-06, 0.08179295719199998, 0.1631370879105001, 0.7257427713522377
4, 4, 0.05703398836962501, 8.542501250004442e-06, 3.9904393749594645e-06, 0.057084752097250016, 0.1141312734075, 1.03736301852845
8, 4, 0.03334027623156251, 6.771217999989254e-06, 3.83933418750404e-06, 0.033422095779437465, 0.06677298256318746, 1.7731057943751716
