# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 0.1166760780595001, 9.67886749982938e-06, 5.0738169999249294e-06, 0.1163983589135, 0.2330891896574999, 1.0
2, 4, 0.16868972583925, 1.0748193249852989e-05, 5.433624500035705e-06, 0.1591278277447499, 0.3278337354017499, 0.7109981813551203
4, 4, 0.1095039943018752, 1.085888987490513e-05, 5.354976499958752e-06, 0.109514957092, 0.21903516526025, 1.064163324553623
8, 4, 0.06367963038331247, 8.236073312478886e-06, 3.970301437496105e-06, 0.06381612005106242, 0.1275079568091249, 1.8280364260437998
