# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT, SpeedUp
1, 4, 0.5094247433649987, 0.5077176809419993, 0.5091968732545016, 0.507922743477001, 2.034262041038501, 1.0
2, 4, 0.5114459009025003, 0.1195244046794992, 0.11656882660875, 0.4225433699677502, 1.1700825021585, 1.7385629109791942
4, 4, 0.2992011026697499, 0.05967012173400014, 0.057750901868624804, 0.2038586248065, 0.6204807510788748, 3.2785256230775612
8, 4, 0.1547148708071874, 0.07711243966293758, 0.07565674919187501, 0.1555546245133751, 0.4630386841753751, 4.393287452130086
