# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT
1, 128, 0.3288072306328136, 0.17077518140077821, 0.17090460673749525, 0.3367163546460965, 1.0072033734171835
2, 128, 0.20862559297969066, 0.09021322770000033, 0.08596757464648572, 0.2093313747785169, 0.5941377701046936
4, 128, 0.13018984981386664, 0.04591480763086002, 0.0447870227554716, 0.1307617926048835, 0.35165347280508175
8, 128, 0.06869711660468664, 0.024578384701561828, 0.022802424810155153, 0.07066831811054664, 0.18674624422695024
16, 128, 0.03496259883632773, 0.011765661421483154, 0.012423366426953497, 0.03561959496884818, 0.09477122165361257
32, 128, 0.018167220758130227, 0.006869123483592926, 0.007956791866601138, 0.018566608814452733, 0.051559744922777026
64, 128, 0.009258834602099388, 0.0042868386850338225, 0.007412795091662849, 0.009433294391906233, 0.030391762770702296
