# Nodes, Ptile,     TXY,      TYZ,     TZY,     TYX,     TOT
1, 128, 0.6441974070609364, 0.3409561891968703, 0.3406257365507804, 0.6042562492531239, 1.9300355820617112
2, 128, 0.3991898808757822, 0.1704405931496118, 0.17071576524570098, 0.4035246532589828, 1.1438708925300778
4, 128, 0.25847312629707, 0.08761261032109449, 0.08590893354277496, 0.25768900029355596, 0.6896836704544954
8, 128, 0.13378124801748031, 0.04545085543379042, 0.044559657994239686, 0.13633325441640692, 0.36012501586191736
16, 128, 0.06771017142529293, 0.02264987580512623, 0.022601170406103287, 0.07177341375136731, 0.18473463138788976
32, 128, 0.035438877846385865, 0.011270251503125361, 0.01232081337990738, 0.03559889736953105, 0.09462884009894966
64, 128, 0.01730072991251272, 0.008010670874279608, 0.014755054303393762, 0.01789761165805674, 0.05796406674824283
